學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,111,0,18,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,45,0,11,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,239,16,51,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,46,1,18,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,81,0,15,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,30,3,13,30 臺北市,1 一般
0001,國立政治大學,01199Y03,教育學院,D 日,,0,5,0,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,32,0,3,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,28,6,10,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,31,0,5,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,69,0,10,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,170,17,31,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,23,0,2,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,53,7,10,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,26,0,3,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,29,0,6,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,178,9,37,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,26,0,5,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,51,0,5,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,181,13,33,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,23,0,4,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,65,0,9,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,305,25,72,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,N 職,M 碩士,35,0,5,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,27,0,3,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,187,10,41,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,186,8,26,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,23,0,4,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,148,8,36,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,130,4,22,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,293,11,55,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,9,0,1,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,242,17,51,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學位學程,D 日,B 學士,33,1,0,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,10,0,1,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,42,6,4,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,63,0,10,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,95,0,20,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,351,30,78,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,N 職,M 碩士,86,0,5,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學學位學程,D 日,D 博士,19,0,1,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學學位學程,D 日,M 碩士,51,0,14,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,9,0,0,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,25,5,6,30 臺北市,1 一般
0001,國立政治大學,02399Y16,外國語文學院,D 日,,0,0,0,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,13,0,2,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,83,0,29,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,415,23,96,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展學位學程,D 日,M 碩士,32,0,10,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,D 博士,29,0,2,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,78,0,12,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,229,15,39,30 臺北市,1 一般
0001,國立政治大學,03121029,國家安全與大陸研究碩士在職專班,N 職,M 碩士,65,0,21,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,D 博士,13,0,0,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,76,0,11,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,270,11,75,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,N 職,M 碩士,70,0,12,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究學位學程,D 日,M 碩士,40,0,22,30 臺北市,1 一般
0001,國立政治大學,03122Y18,國際事務學院,D 日,,0,13,0,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,12,0,1,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,76,0,24,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,203,17,56,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商學位學程,D 日,M 碩士,40,0,8,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,14,0,1,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,65,0,12,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,189,13,43,30 臺北市,1 一般
0001,國立政治大學,03143023,中東與中亞研究學位學程,D 日,M 碩士,16,0,0,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,29,0,2,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,69,1,14,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究學位學程,D 日,D 博士,10,0,0,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究學位學程,D 日,M 碩士,39,0,8,30 臺北市,1 一般
0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,39,3,6,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究學位學程,D 日,D 博士,58,0,10,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究學位學程,D 日,M 碩士,55,0,17,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,D 博士,23,0,1,30 臺北市,1 一般
