學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,115,0,10,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,41,0,16,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,231,15,54,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,42,0,11,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,81,0,20,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,33,3,5,30 臺北市,1 一般
0001,國立政治大學,01199Y03,教育學院,D 日,,0,6,0,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,32,0,5,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,30,5,5,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,28,0,5,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,64,0,17,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,158,16,42,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,21,0,1,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,57,7,6,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,22,0,5,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,25,0,5,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,171,11,39,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,26,0,2,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,48,0,7,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,183,13,32,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,26,0,2,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,52,0,23,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,297,23,69,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,37,1,5,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,29,0,5,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,176,9,48,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,186,8,31,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,25,0,6,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,142,9,32,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,127,7,21,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,292,11,63,30 臺北市,1 一般
