學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,117,0,18,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,27,0,7,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,213,14,57,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,49,1,12,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,79,0,25,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,47,3,5,30 臺北市,1 一般
0001,國立政治大學,01199Y03,教育學院,D 日,,0,5,0,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,29,0,4,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,25,5,4,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,28,0,2,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,63,0,14,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,167,18,24,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,20,0,4,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,49,8,10,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,19,0,1,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,28,0,1,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,174,9,30,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,25,0,2,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,44,0,7,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,179,14,28,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,21,0,6,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,57,0,11,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,38,0,9,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,291,23,63,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,21,0,7,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,178,8,43,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,171,5,47,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,17,0,1,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,138,8,35,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,120,7,22,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,264,11,65,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,15,0,2,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,214,18,52,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,92,5,10,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,12,0,1,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,45,6,9,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,56,0,7,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,83,0,19,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,75,0,14,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,338,31,51,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,19,0,5,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,57,3,14,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,10,0,0,30 臺北市,1 一般
