學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,101,0,17,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,39,0,3,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,218,12,43,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,48,1,9,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,0,17,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,54,2,9,30 臺北市,1 一般
0001,國立政治大學,01199Y03,教育學院,D 日,,0,9,0,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,0,4,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,26,7,5,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,25,0,6,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,58,0,12,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,173,18,32,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,0,1,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,54,9,7,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,18,0,2,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,19,0,10,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,180,10,40,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,30,0,1,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,48,0,8,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,190,14,26,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,25,0,1,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,70,0,6,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,28,0,5,30 臺北市,1 一般
