類別,學校代碼,學校名稱,核定經費(單位：元)
一般大學,1,國立政治大學,"285,790,000"
一般大學,2,國立清華大學,"1,000,000,000"
一般大學,3,國立臺灣大學,"1,800,000,000"
一般大學,4,國立臺灣師範大學,"206,900,000"
一般大學,5,國立成功大學,"1,100,000,000"
一般大學,6,國立中興大學,"352,020,000"
一般大學,7,國立交通大學,"1,000,000,000"
一般大學,8,國立中央大學,"415,460,000"
一般大學,9,國立中山大學,"253,030,000"
一般大學,12,國立臺灣海洋大學,"135,290,000"
一般大學,13,國立中正大學,"163,910,000"
一般大學,14,國立高雄師範大學,"40,740,000"
一般大學,15,國立彰化師範大學,"58,160,000"
一般大學,16,國立陽明大學,"341,900,000"
一般大學,17,國立臺北大學,"78,050,000"
一般大學,18,國立嘉義大學,"57,450,000"
一般大學,19,國立高雄大學,"45,190,000"
一般大學,20,國立東華大學,"51,630,000"
一般大學,21,國立暨南國際大學,"71,790,000"
一般大學,28,國立臺北藝術大學,"48,180,000"
一般大學,29,國立臺灣藝術大學,"31,880,000"
一般大學,30,國立臺東大學,"50,070,000"
一般大學,31,國立宜蘭大學,"54,240,000"
一般大學,32,國立聯合大學,"44,760,000"
一般大學,35,國立臺南藝術大學,"13,610,000"
一般大學,36,國立臺南大學,"45,960,000"
一般大學,37,國立臺北教育大學,"52,020,000"
一般大學,39,國立臺中教育大學,"45,470,000"
一般大學,44,國立體育大學,"39,960,000"
一般大學,48,國立金門大學,"34,350,000"
一般大學,49,國立臺灣體育運動大學,"30,190,000"
一般大學,52,國立屏東大學,"67,740,000"
一般大學,1001,東海大學,"123,580,000"
一般大學,1002,輔仁大學,"82,900,000"
一般大學,1003,東吳大學,"89,680,000"
一般大學,1004,中原大學,"135,580,000"
一般大學,1005,淡江大學,"89,070,000"
一般大學,1006,中國文化大學,"72,310,000"
一般大學,1007,逢甲大學,"148,200,000"
一般大學,1008,靜宜大學,"86,720,000"
一般大學,1009,長庚大學,"169,140,000"
一般大學,1010,元智大學,"83,770,000"
一般大學,1011,中華大學,"47,320,000"
一般大學,1012,大葉大學,"69,640,000"
一般大學,1013,華梵大學,"28,870,000"
一般大學,1014,義守大學,"68,540,000"
一般大學,1015,世新大學,"60,160,000"
一般大學,1016,銘傳大學,"73,680,000"
一般大學,1017,實踐大學,"66,320,000"
