類別,學校代碼,學校名稱,核定經費(單位：元)
一般大學,1,國立政治大學,337004700
一般大學,2,國立清華大學,1150369700
一般大學,3,國立臺灣大學,2253163500
一般大學,4,國立臺灣師範大學,228170200
一般大學,5,國立成功大學,1351616400
一般大學,6,國立中興大學,403113900
一般大學,7,國立交通大學,1050630600
一般大學,8,國立中央大學,419237700
一般大學,9,國立中山大學,302996120
一般大學,12,國立臺灣海洋大學,133898000
一般大學,13,國立中正大學,164412000
一般大學,14,國立高雄師範大學,40574500
一般大學,15,國立彰化師範大學,59247600
一般大學,16,國立陽明大學,340169000
一般大學,17,國立臺北大學,77550000
一般大學,18,國立嘉義大學,57650000
一般大學,19,國立高雄大學,46643000
一般大學,20,國立東華大學,52206000
一般大學,21,國立暨南國際大學,72045800
一般大學,28,國立臺北藝術大學,49329700
一般大學,29,國立臺灣藝術大學,31880000
一般大學,30,國立臺東大學,51299800
一般大學,31,國立宜蘭大學,54490000
一般大學,32,國立聯合大學,46038500
一般大學,35,國立臺南藝術大學,14074700
一般大學,36,國立臺南大學,48912676
一般大學,37,國立臺北教育大學,53394200
一般大學,39,國立臺中教育大學,50970000
一般大學,44,國立體育大學,40882983
一般大學,48,國立金門大學,36091300
一般大學,49,國立臺灣體育運動大學,29190000
一般大學,52,國立屏東大學,67740000
一般大學,1001,東海大學,126580000
一般大學,1002,輔仁大學,78900000
一般大學,1003,東吳大學,89680000
一般大學,1004,中原大學,137780000
一般大學,1005,淡江大學,89070000
一般大學,1006,中國文化大學,70310000
一般大學,1007,逢甲大學,151200000
一般大學,1008,靜宜大學,89718128
一般大學,1009,長庚大學,169140000
一般大學,1010,元智大學,83770000
一般大學,1011,中華大學,47320000
一般大學,1012,大葉大學,69640000
一般大學,1013,華梵大學,28152000
一般大學,1014,義守大學,68028210
一般大學,1015,世新大學,60160000
一般大學,1016,銘傳大學,75680000
一般大學,1017,實踐大學,66320000
一般大學,1019,高雄醫學大學,102160000
一般大學,1020,南華大學,60120000
一般大學,1021,真理大學,21540000
一般大學,1022,大同大學,39200000
一般大學,1027,慈濟大學,51250000
一般大學,1028,臺北醫學大學,267400000
一般大學,1029,中山醫學大學,58322000
一般大學,1033,長榮大學,53970000
一般大學,1035,中國醫藥大學,201763000
一般大學,1039,玄奘大學,39170000
一般大學,1048,亞洲大學,58720000
一般大學,1049,開南大學,19410000
一般大學,1050,佛光大學,48420000
一般大學,1058,明道大學,12756800
一般大學,1067,台灣首府大學,11140000
一般大學,1079,康寧大學,7885028
一般大學,1125,中信金融管理學院,13519600
一般大學,1176,稻江科技暨管理學院,1616000
一般大學,1195,馬偕醫學院,42827680
一般大學,1196,法鼓文理學院,3048000
一般大學,1R04,一貫道天皇學院,5170000
一般大學,3002,臺北市立大學,46789000
技專校院,22,國立臺灣科技大學,316800000
技專校院,23,國立雲林科技大學,222202672
技專校院,24,國立屏東科技大學,163787288
技專校院,25,國立臺北科技大學,281046821
技專校院,33,國立虎尾科技大學,230811882
技專校院,42,國立澎湖科技大學,27789928
技專校院,43,國立勤益科技大學,153418011
技專校院,46,國立臺北護理健康大學,65857337
技專校院,47,國立高雄餐旅大學,93227554
技專校院,50,國立臺中科技大學,26321019
技專校院,51,國立臺北商業大學,69075637
技專校院,53,國立高雄科技大學,394405258
技專校院,144,國立臺灣戲曲學院,4236448
技專校院,221,國立臺南護理專科學校,23862150
技專校院,222,國立臺東專科學校,36330274
技專校院,1018,朝陽科技大學,54933991
技專校院,1023,南臺科技大學,183577756
技專校院,1024,崑山科技大學,165341900
技專校院,1025,嘉南藥理大學,80020500
技專校院,1026,樹德科技大學,75396565
技專校院,1030,龍華科技大學,107628500
技專校院,1031,輔英科技大學,36877230
技專校院,1032,明新科技大學,49382300
技專校院,1034,弘光科技大學,113009596
技專校院,1036,健行科技大學,43362011
技專校院,1037,正修科技大學,171699000
技專校院,1038,萬能科技大學,20943375
技專校院,1040,建國科技大學,28788390
技專校院,1041,明志科技大學,90286925
技專校院,1042,高苑科技大學,26176424
技專校院,1043,大仁科技大學,23360000
技專校院,1044,聖約翰科技大學,18539050
技專校院,1045,嶺東科技大學,41007400
技專校院,1046,中國科技大學,72100000
技專校院,1047,中臺科技大學,38717400
技專校院,1051,台南應用科技大學,36330000
技專校院,1052,遠東科技大學,75042651
技專校院,1053,元培醫事科技大學,41776380
技專校院,1054,景文科技大學,40645804
技專校院,1055,中華醫事科技大學,29581288
技專校院,1056,東南科技大學,21265000
技專校院,1057,德明財經科技大學,41448044
技專校院,1060,南開科技大學,31739000
技專校院,1061,中華科技大學,27150000
技專校院,1062,僑光科技大學,25741400
技專校院,1063,育達科技大學,9778604
技專校院,1064,美和科技大學,34248700
技專校院,1065,吳鳳科技大學,24017928
技專校院,1066,環球科技大學,16464000
技專校院,1068,中州科技大學,10626800
技專校院,1069,修平科技大學,39479366
技專校院,1070,長庚科技大學,61846861
技專校院,1071,臺北城市科技大學,25900000
技專校院,1072,大華科技大學,6351000
技專校院,1073,醒吾科技大學,64752745
技專校院,1074,南榮科技大學,4000000
技專校院,1075,文藻外語大學,59095000
技專校院,1076,華夏科技大學,19388700
技專校院,1077,慈濟科技大學,47629746
技專校院,1078,致理科技大學,77956391
技專校院,1080,宏國德霖科技大學,17372000
技專校院,1081,東方設計大學,11060900
技專校院,1082,崇右影藝科技大學,8510000
技專校院,1083,台北海洋科技大學,31881095
技專校院,1148,大漢技術學院,2777000
技專校院,1159,和春技術學院,4000000
技專校院,1166,亞東技術學院,18200000
技專校院,1168,南亞技術學院,10236000
技專校院,1182,蘭陽技術學院,3050000
技專校院,1183,黎明技術學院,15145983
技專校院,1185,經國管理暨健康學院,13275000
技專校院,1188,大同技術學院,7000000
技專校院,1282,馬偕醫護管理專科學校,16100000
技專校院,1283,仁德醫護管理專科學校,19866254
技專校院,1284,樹人醫護管理專科學校,21220000
技專校院,1285,慈惠醫護管理專科學校,17508000
技專校院,1286,耕莘健康管理專科學校,23355500
技專校院,1287,敏惠醫護管理專科學校,7740446
技專校院,1289,育英醫護管理專科學校,10700000
技專校院,1290,崇仁醫護管理專科學校,11591500
技專校院,1291,聖母醫護管理專科學校,8741290
技專校院,1292,新生醫護管理專科學校,20321000
